2021-01-03 19:36:41 |ERROR |pool-1-thread-2 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:36:41 |ERROR |pool-1-thread-2 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:36:41 |ERROR |pool-1-thread-4 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:36:41 |ERROR |pool-1-thread-4 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:36:50 |ERROR |pool-1-thread-1 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:36:50 |ERROR |pool-1-thread-1 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:36:52 |ERROR |pool-1-thread-2 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:36:52 |ERROR |pool-1-thread-2 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:36:55 |ERROR |pool-1-thread-4 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:36:55 |ERROR |pool-1-thread-4 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:36:55 |ERROR |pool-1-thread-5 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:36:55 |ERROR |pool-1-thread-5 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:36:55 |ERROR |pool-1-thread-3 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:36:55 |ERROR |pool-1-thread-3 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:37:10 |ERROR |pool-1-thread-1 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:37:10 |ERROR |pool-1-thread-1 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:37:12 |ERROR |pool-1-thread-2 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:37:12 |ERROR |pool-1-thread-2 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:37:15 |ERROR |pool-1-thread-4 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:37:15 |ERROR |pool-1-thread-4 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:38:00 |ERROR |pool-1-thread-5 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:38:00 |ERROR |pool-1-thread-5 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:38:00 |ERROR |pool-1-thread-3 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:38:00 |ERROR |pool-1-thread-3 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:38:08 |ERROR |pool-1-thread-5 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:38:08 |ERROR |pool-1-thread-5 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:38:08 |ERROR |pool-1-thread-3 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:38:08 |ERROR |pool-1-thread-3 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:38:14 |ERROR |pool-1-thread-1 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:38:14 |ERROR |pool-1-thread-1 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:38:18 |ERROR |pool-1-thread-2 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:38:18 |ERROR |pool-1-thread-2 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
2021-01-03 19:38:19 |ERROR |pool-1-thread-1 |AsyncCallback.java:143 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callback send fail
2021-01-03 19:38:19 |ERROR |pool-1-thread-1 |AsyncCallback.java:144 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |Connect to 127.0.0.1:8082 [/127.0.0.1] failed: Connection refused: connect
